1,4,2259,271738000000000,      -5.1513,     -18.1715,      24.9058,-2267809.6777, 5009324.2008, 3221016.7690, 30.528701257,114.357103877, 41.4380,    9.937,  0.002924,  0.005428,  0.007546,  0.006330,  3.845979,  2.164780,  3.178881,-1,24,0,7
2,5,2259,271739000000000,      -5.1615,     -18.1660,      24.9121,-2267809.6878, 5009324.2063, 3221016.7753, 30.528701264,114.357103950, 41.4492,    9.454,  0.003359,  0.006236,  0.008668,  0.007271,  3.846050,  2.164744,  3.178991,-1,24,0,7
3,6,2259,271740000000000,      -5.1595,     -18.1689,      24.9088,-2267809.6858, 5009324.2034, 3221016.7720, 30.528701254,114.357103943, 41.4445,    9.672,  0.003958,  0.007351,  0.010214,  0.008569,  3.846121,  2.164708,  3.179101,-1,24,0,7
4,7,2259,271741000000000,      -5.1553,     -18.1698,      24.9023,-2267809.6816, 5009324.2025, 3221016.7656, 30.528701216,114.357103908, 41.4390,   61.253,  0.004062,  0.002266,  0.004448,  0.004588,  1.669023,  1.129434,  1.228828,1,24,7,7
5,8,2259,271742000000000,      -5.1553,     -18.1772,      24.8993,-2267809.6816, 5009324.1951, 3221016.7625, 30.528701223,114.357103939, 41.4316,   75.351,  0.003650,  0.002036,  0.003996,  0.004122,  1.668946,  1.129376,  1.228776,1,24,7,7
6,9,2259,271743000000000,      -5.1554,     -18.1701,      24.9061,-2267809.6817, 5009324.2023, 3221016.7693, 30.528701246,114.357103909, 41.4408,  120.561,  0.002841,  0.001585,  0.003110,  0.003208,  1.668869,  1.129318,  1.228725,1,24,7,7
7,10,2259,271744000000000,      -5.1531,     -18.1772,      24.8947,-2267809.6794, 5009324.1952, 3221016.7579, 30.528701191,114.357103918, 41.4286,   62.003,  0.004051,  0.002260,  0.004435,  0.004575,  1.668792,  1.129260,  1.228674,1,24,7,7
8,11,2259,271745000000000,      -5.1570,     -18.1662,      24.9041,-2267809.6833, 5009324.2061, 3221016.7673, 30.528701211,114.357103908, 41.4433,  124.566,  0.002841,  0.001585,  0.003110,  0.003208,  1.668715,  1.129202,  1.228623,1,24,7,7
9,12,2259,271746000000000,      -5.1544,     -18.1802,      24.8932,-2267809.6807, 5009324.1921, 3221016.7564, 30.528701190,114.357103943, 41.4259,   36.510,  0.005249,  0.002930,  0.005745,  0.005927,  1.668638,  1.129143,  1.228571,1,24,7,7
10,13,2259,271747000000000,      -5.1566,     -18.1733,      24.9012,-2267809.6830, 5009324.1990, 3221016.7644, 30.528701219,114.357103935, 41.4361,   65.213,  0.003840,  0.002144,  0.004203,  0.004336,  1.668560,  1.129084,  1.228520,1,24,7,7
11,14,2259,271748000000000,      -5.1554,     -18.1785,      24.8956,-2267809.6817, 5009324.1938, 3221016.7588, 30.528701199,114.357103946, 41.4288,   62.535,  0.003984,  0.002224,  0.004360,  0.004498,  1.668483,  1.129025,  1.228469,1,24,7,7
12,15,2259,271749000000000,      -5.1557,     -18.1740,      24.8964,-2267809.6820, 5009324.1984, 3221016.7596, 30.528701186,114.357103929, 41.4329,   77.633,  0.003519,  0.001965,  0.003850,  0.003973,  1.668405,  1.128966,  1.228418,1,24,7,7
13,16,2259,271750000000000,      -5.1553,     -18.1717,      24.9042,-2267809.6816, 5009324.2007, 3221016.7674, 30.528701238,114.357103916, 41.4385,  108.053,  0.002926,  0.001637,  0.003269,  0.003451,  1.717977,  1.179304,  1.249275,1,24,7,6
14,17,2259,271751000000000,      -5.1507,     -18.1782,      24.9019,-2267809.6770, 5009324.1942, 3221016.7651, 30.528701256,114.357103899, 41.4306,  136.509,  0.002435,  0.001362,  0.002720,  0.002872,  1.717891,  1.179238,  1.249218,1,24,7,6
15,18,2259,271752000000000,      -5.1520,     -18.1748,      24.9002,-2267809.6783, 5009324.1975, 3221016.7634, 30.528701226,114.357103897, 41.4328,  104.401,  0.002905,  0.001625,  0.003245,  0.003426,  1.717805,  1.179172,  1.249162,1,24,7,6
16,19,2259,271753000000000,      -5.1500,     -18.1801,      24.8969,-2267809.6763, 5009324.1922, 3221016.7601, 30.528701226,114.357103902, 41.4263,   97.367,  0.003090,  0.001729,  0.003450,  0.003643,  1.717718,  1.179106,  1.249106,1,24,7,6
17,20,2259,271754000000000,      -5.1513,     -18.1753,      24.9036,-2267809.6776, 5009324.1971, 3221016.7668, 30.528701256,114.357103893, 41.4339,  129.367,  0.002445,  0.001369,  0.002731,  0.002883,  1.717632,  1.179040,  1.249050,1,24,7,6
18,21,2259,271755000000000,      -5.1540,     -18.1719,      24.9041,-2267809.6803, 5009324.2005, 3221016.7673, 30.528701240,114.357103904, 41.4378,  130.257,  0.002526,  0.001414,  0.002821,  0.002978,  1.717546,  1.178973,  1.248993,1,24,7,6
19,22,2259,271756000000000,      -5.1534,     -18.1789,      24.9011,-2267809.6797, 5009324.1934, 3221016.7644, 30.528701248,114.357103928, 41.4306,   53.229,  0.004200,  0.002351,  0.004689,  0.004951,  1.717459,  1.178907,  1.248937,1,24,7,6
20,23,2259,271757000000000,      -5.1558,     -18.1728,      24.9040,-2267809.6821, 5009324.1995, 3221016.7672, 30.528701240,114.357103925, 41.4377,   92.589,  0.003105,  0.001738,  0.003466,  0.003660,  1.717372,  1.178840,  1.248881,1,24,7,6
21,24,2259,271758000000000,      -5.1514,     -18.1800,      24.8969,-2267809.6777, 5009324.1923, 3221016.7601, 30.528701223,114.357103915, 41.4268,   54.405,  0.004170,  0.002335,  0.004655,  0.004915,  1.717285,  1.178773,  1.248824,1,24,7,6
22,25,2259,271759000000000,      -5.1544,     -18.1721,      24.9045,-2267809.6807, 5009324.2002, 3221016.7677, 30.528701244,114.357103909, 41.4380,   79.173,  0.003215,  0.001800,  0.003588,  0.003789,  1.717198,  1.178705,  1.248768,1,24,7,6
23,26,2259,271760000000000,      -5.1533,     -18.1703,      24.9066,-2267809.6796, 5009324.2020, 3221016.7698, 30.528701255,114.357103891, 41.4401,   86.105,  0.002933,  0.001643,  0.003273,  0.003457,  1.717110,  1.178638,  1.248712,1,24,7,6
24,27,2259,271761000000000,      -5.1525,     -18.1691,      24.9099,-2267809.6788, 5009324.2032, 3221016.7731, 30.528701277,114.357103878, 41.4424,  105.182,  0.002608,  0.001461,  0.002911,  0.003074,  1.717023,  1.178570,  1.248655,1,24,7,6
